"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.106938290E0,-1.042707920E0,-5.514312267E0,4.434068298E1,4.469441852E1
1.111955634E0,2.979541063E0,-6.659381390E0,5.341088867E1,5.390684608E1
1.116972977E0,2.355594158E0,-6.927280903E0,5.783496857E1,5.829596584E1
1.121990321E0,3.797253609E0,-6.178300381E0,6.124047089E1,6.166835335E1
1.127007665E0,5.724504948E0,-6.415916443E0,6.341003418E1,6.399036158E1
1.132025009E0,6.211639881E0,-8.025978088E0,5.961719513E1,6.047487701E1
1.137042352E0,6.164600849E0,-8.847716331E0,5.150331879E1,5.262011245E1
1.142059696E0,6.553547382E0,-7.228503227E0,4.410015488E1,4.516662377E1
1.147077040E0,7.109733582E0,-4.771097660E0,3.898602676E1,3.991518467E1
1.152094384E0,7.468005657E0,-2.995707035E0,3.550897217E1,3.640923610E1
1.157111727E0,6.594738483E0,-2.722342730E0,3.266403961E1,3.343413240E1
1.162129071E0,5.275803566E0,-3.608345747E0,2.835738564E1,2.906880772E1
1.167146415E0,3.354089499E0,-4.694377422E0,2.211432648E1,2.285455165E1
1.172163759E0,5.577620864E-1,-6.040706158E0,1.523013783E1,1.639385030E1
1.177181102E0,-2.313658476E0,-7.218509674E0,8.390840530E0,1.130778945E1
1.182198446E0,-4.185536861E0,-7.646963120E0,2.080412865E0,8.962303357E0
1.187215790E0,-4.931260586E0,-7.110682964E0,-3.251562119E0,9.244014247E0
1.192233134E0,-4.881842613E0,-6.146697044E0,-7.624976158E0,1.094324144E1
1.197250477E0,-4.628688812E0,-5.517290592E0,-1.107425404E1,1.321000977E1
1.202267821E0,-3.970850468E0,-5.214344978E0,-1.441366577E1,1.583385007E1
1.207285165E0,-2.843918800E0,-4.779937744E0,-1.821319580E1,1.904353382E1
1.212302509E0,-2.407392740E0,-4.428738594E0,-2.275166702E1,2.330338211E1
1.217319852E0,-2.473785639E0,-3.938399553E0,-2.773482895E1,2.812207928E1
1.222337196E0,-2.637968540E0,-3.464502573E0,-3.255398178E1,3.284392464E1
1.227354540E0,-2.849168062E0,-3.178064823E0,-3.670676041E1,3.695408116E1
1.232371884E0,-2.732351780E0,-3.141918659E0,-4.010712433E1,4.032268370E1
1.237389227E0,-2.360673189E0,-3.215287209E0,-4.267287064E1,4.285889334E1
1.242406571E0,-1.928663731E0,-3.187610388E0,-4.489458466E1,4.504891048E1
1.247423915E0,-1.425439596E0,-3.040326118E0,-4.648683929E1,4.660795735E1
1.252441259E0,-9.214267135E-1,-2.960519791E0,-4.759934235E1,4.770022114E1
1.257458602E0,-3.375806212E-1,-3.039417744E0,-4.792218781E1,4.801966373E1
1.262475946E0,8.258908987E-2,-3.401908875E0,-4.719337463E1,4.731590023E1
1.267493290E0,2.450402379E-1,-4.163786888E0,-4.537535858E1,4.556665812E1
1.272510634E0,-3.465871215E-1,-5.054660797E0,-4.224302673E1,4.254577565E1
1.277527977E0,-1.647667646E0,-5.742785454E0,-3.862313843E1,3.908249244E1
1.282545321E0,-2.793081045E0,-6.455603600E0,-3.479146576E1,3.549538293E1
1.287562665E0,-3.712742567E0,-7.372796059E0,-3.065019035E1,3.174234944E1
1.292580009E0,-4.512650490E0,-8.454092979E0,-2.627859116E1,2.797141497E1
1.297597352E0,-5.392721176E0,-9.511671066E0,-2.362249374E1,2.603028119E1
1.302614696E0,-6.690925598E0,-1.013606167E1,-2.003644562E1,2.343005302E1
1.307632040E0,-5.529597282E0,-9.809018135E0,-9.001836777E0,1.441618355E1
1.312649384E0,-2.740256786E0,-9.177513123E0,8.662035942E0,1.291381512E1
1.317666727E0,-6.181423068E-1,-9.225223541E0,3.104772949E1,3.239519032E1
1.322684071E0,8.855167627E-1,-6.588853836E0,4.263364792E1,4.314887101E1
1.327701415E0,-3.191070318E0,-4.342166901E0,4.152520752E1,4.187338299E1
1.332718759E0,-2.272039205E-1,-3.605386496E0,4.968959045E1,4.982073698E1
1.337736102E0,1.481281400E0,-5.456508636E0,5.332643509E1,5.362533320E1
1.342753446E0,2.071663380E0,-6.932118893E0,5.408249664E1,5.456429698E1
1.347770790E0,4.114672661E0,-7.540011406E0,5.852842712E1,5.915538086E1
1.352788134E0,7.131149769E0,-8.300990105E0,6.267671967E1,6.362492375E1
1.357805477E0,9.406029701E0,-9.098591805E0,6.030579376E1,6.170937148E1
1.362822821E0,8.321509361E0,-9.581990242E0,5.103752518E1,5.259173919E1
1.367840165E0,6.508775711E0,-8.631758690E0,4.363175201E1,4.495109791E1
1.372857509E0,5.952090740E0,-6.584212780E0,3.991900253E1,4.089383823E1
1.377874852E0,5.459061146E0,-4.867290974E0,3.809295654E1,3.878872527E1
1.382892196E0,4.815168381E0,-4.054749966E0,3.687064743E1,3.740416402E1
1.387909540E0,4.342298031E0,-4.168015957E0,3.348377228E1,3.402044849E1
1.392926884E0,3.117759705E0,-4.283659458E0,2.710030937E1,2.761334699E1
1.397944227E0,1.114139557E0,-5.262158871E0,1.885526276E1,1.960746176E1
1.402961571E0,-1.059104204E0,-6.713207245E0,1.064731407E1,1.263147458E1
