"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.570108520E-1,3.994738800E-4,-2.130527282E-3,1.065263641E-3,2.415266550E-3
5.595194460E-1,1.464737463E-3,-2.130527282E-3,2.130527282E-3,3.350186388E-3
5.620280400E-1,3.994738800E-4,-2.130527282E-3,2.130527282E-3,3.039386843E-3
5.645366330E-1,1.464737463E-3,-0.000000000E0,1.065263641E-3,1.811143964E-3
5.670452270E-1,1.464737463E-3,1.065263641E-3,1.065263641E-3,2.101197060E-3
5.695538210E-1,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
5.720624150E-1,3.994738800E-4,-1.065263641E-3,-2.130527282E-3,2.415266550E-3
5.745709560E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
5.770794980E-1,1.464737463E-3,-0.000000000E0,-1.065263641E-3,1.811143964E-3
5.795880400E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
5.820965810E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
5.846051230E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
5.871136650E-1,-6.657897611E-4,-2.130527282E-3,-1.065263641E-3,2.473299240E-3
5.896222060E-1,3.994738800E-4,-2.130527282E-3,-1.065263641E-3,2.415266550E-3
5.921307480E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
5.946392900E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
5.971478310E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
5.996563730E-1,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
6.021649150E-1,3.994738800E-4,1.065263641E-3,1.065263641E-3,1.558573909E-3
6.046734560E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
6.071819980E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
6.096905400E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
6.121990810E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
6.147076230E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
6.172161650E-1,-6.657897611E-4,-1.065263641E-3,-1.065263641E-3,1.647072936E-3
6.197247060E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
6.222332480E-1,3.994738800E-4,-0.000000000E0,0.000000000E0,3.994738800E-4
6.247417900E-1,1.464737463E-3,-0.000000000E0,0.000000000E0,1.464737463E-3
6.272503310E-1,3.994738800E-4,-0.000000000E0,-1.065263641E-3,1.137702072E-3
6.297588730E-1,-6.657897611E-4,-1.065263641E-3,-1.065263641E-3,1.647072936E-3
6.322674150E-1,-6.657897611E-4,-1.065263641E-3,-1.065263641E-3,1.647072936E-3
6.347759560E-1,-6.657897611E-4,-1.065263641E-3,-2.130527282E-3,2.473299240E-3
6.372844980E-1,-6.657897611E-4,-0.000000000E0,-2.130527282E-3,2.232134070E-3
6.397930400E-1,-6.657897611E-4,-1.065263641E-3,-1.065263641E-3,1.647072936E-3
6.423015810E-1,3.994738800E-4,-1.065263641E-3,-1.065263641E-3,1.558573909E-3
6.448101230E-1,-6.657897611E-4,-1.065263641E-3,-1.065263641E-3,1.647072936E-3
6.473186650E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
6.498272060E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
6.523357480E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
6.548442900E-1,-1.731053460E-3,-0.000000000E0,1.065263641E-3,2.032568008E-3
6.573528310E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
6.598613730E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
6.623699150E-1,3.994738800E-4,-1.065263641E-3,1.065263641E-3,1.558573909E-3
6.648784560E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
6.673869980E-1,3.994738800E-4,1.065263641E-3,-1.065263641E-3,1.558573909E-3
6.698955400E-1,-6.657897611E-4,1.065263641E-3,-1.065263641E-3,1.647072936E-3
6.724040810E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
6.749126230E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
6.774211650E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
6.799297060E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
6.824382480E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
6.849467900E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
6.874553310E-1,-1.731053460E-3,-0.000000000E0,1.065263641E-3,2.032568008E-3
6.899638730E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
6.924724150E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
6.949809560E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
6.974894980E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
6.999980920E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
7.025066860E-1,3.994738800E-4,1.065263641E-3,1.065263641E-3,1.558573909E-3
7.050152790E-1,3.994738800E-4,-0.000000000E0,2.130527282E-3,2.167654465E-3
7.075238730E-1,3.994738800E-4,-1.065263641E-3,2.130527282E-3,2.415266550E-3
7.100324670E-1,3.994738800E-4,-2.130527282E-3,1.065263641E-3,2.415266550E-3
7.125410610E-1,3.994738800E-4,-1.065263641E-3,1.065263641E-3,1.558573909E-3
7.150496540E-1,-6.657897611E-4,-1.065263641E-3,1.065263641E-3,1.647072936E-3
7.175582480E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
7.200668420E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
7.225754360E-1,3.994738800E-4,-1.065263641E-3,1.065263641E-3,1.558573909E-3
7.250840290E-1,3.994738800E-4,-1.065263641E-3,1.065263641E-3,1.558573909E-3
7.275926230E-1,1.464737463E-3,-0.000000000E0,1.065263641E-3,1.811143964E-3
7.301012170E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
7.326098110E-1,3.994738800E-4,-0.000000000E0,2.130527282E-3,2.167654465E-3
7.351184040E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
7.376269980E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
7.401355920E-1,-6.657897611E-4,-0.000000000E0,0.000000000E0,6.657897611E-4
7.426441860E-1,-6.657897611E-4,1.065263641E-3,0.000000000E0,1.256209629E-3
7.451527790E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
7.476613730E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
7.501699670E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
7.526785610E-1,-6.657897611E-4,-0.000000000E0,1.065263641E-3,1.256209629E-3
7.551871540E-1,-6.657897611E-4,1.065263641E-3,1.065263641E-3,1.647072936E-3
7.576957480E-1,-6.657897611E-4,1.065263641E-3,-1.065263641E-3,1.647072936E-3
7.602043420E-1,-6.657897611E-4,-0.000000000E0,-2.130527282E-3,2.232134070E-3
7.627129360E-1,-6.657897611E-4,-1.065263641E-3,-1.065263641E-3,1.647072936E-3
7.652215290E-1,-6.657897611E-4,-1.065263641E-3,0.000000000E0,1.256209629E-3
7.677301230E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
7.702387170E-1,3.994738800E-4,-0.000000000E0,1.065263641E-3,1.137702072E-3
7.727473110E-1,3.994738800E-4,-1.065263641E-3,0.000000000E0,1.137702072E-3
7.752559040E-1,3.994738800E-4,-1.065263641E-3,-1.065263641E-3,1.558573909E-3
7.777644980E-1,3.994738800E-4,-2.130527282E-3,-1.065263641E-3,2.415266550E-3
7.802730920E-1,-6.657897611E-4,-1.065263641E-3,0.000000000E0,1.256209629E-3
7.827816860E-1,-6.657897611E-4,-0.000000000E0,-1.065263641E-3,1.256209629E-3
